Work Item Type,Title,Description,Acceptance Criteria,Story Points,Priority,Tags,Parent
Epic,Tri-View Taxonomy Platform,"The application shell and navigation: a single engagement viewed through three synchronised perspectives (Value Streams, MRI PMX System, Mapping) sharing one hierarchy (Tab -> Column -> Card) and one detail panel.",,,1,platform;MoSCoW-Must,
Epic,Business Process View - CRE Powered Value Streams,"The 'what the business does' perspective, organised as CRE Powered value streams. Cards carry market, vertical and standards detail and are enriched during discovery.",,,1,business-view;MoSCoW-Must,
Epic,MRI PMX System View,"The 'how the ERP supports it' perspective, organised by MRI PMX module. Each system process carries MRI screen navigation, setup prerequisites and associated screens.",,,1,system-view;MoSCoW-Must,
Epic,Business-to-System Linkage & Mapping,"Connect each business process to the system process(es) that deliver it, navigate between counterparts, and visualise coverage and gaps in a matrix.",,,1,linkage;mapping;MoSCoW-Must,
Epic,System Coverage Tagging,"Tag each value-stream process with how fully MRI PMX covers it (Full / Partial / Outside), filter by it, bulk-apply it, and surface guidance via tooltips and link warnings.",,,2,coverage;business-view;MoSCoW-Must,
Epic,Scope Management,"Tag system processes as Core / Custom / Out of Scope, auto-derive out-of-scope for unlinked items, filter by scope with live counts, and bulk-tag columns.",,,2,scope;system-view;MoSCoW-Should,
Epic,Client Versioning & Content Editing,"Author content in-browser (Edit Mode), capture client-specific notes, and save/load named client versions that snapshot content, links, tags and visibility across all views. Includes undo and reset.",,,1,versioning;editing;MoSCoW-Must,
Epic,Document Generation & Export,"Produce client-ready Word and PDF documents from the current or all visible tabs, respecting scope tags and the market/vertical selection.",,,2,export;MoSCoW-Should,
Epic,Multi-ERP Expansion,"Future direction: map the same business processes against additional ERPs (Yardi planned) and share client versions between machines/users.",,,4,future;multi-erp,
Feature,View Switcher & Shared Shell,"A three-way view switcher (Value Streams / MRI PMX System / Mapping) over shared grid, header and detail-panel containers, so context carries across perspectives.",,,1,platform;MoSCoW-Must,Tri-View Taxonomy Platform
Feature,Hierarchical Grid & Navigation,"The Tab -> Column -> Card grid with a right-hand detail panel, collapsible sub-processes, and horizontally scrolling tab bars for many modules/streams.",,,1,platform;MoSCoW-Must,Tri-View Taxonomy Platform
Feature,CRE Powered Value Streams Taxonomy,"Ten CRE value streams (L1 tabs) each broken into process groups (L2 columns) and processes (L3 cards), with an enrichment flag on skeleton cards.",,,1,business-view;MoSCoW-Must,Business Process View - CRE Powered Value Streams
Feature,Business Dimensions,"Per-card market variation (UK/US/EU), vertical/sector detail (Retail/Industrial/Office/Residential) and standards & frameworks (e.g. IFRS 16, ASC 842, EPRA).",,,2,business-view;MoSCoW-Should,Business Process View - CRE Powered Value Streams
Feature,Business Filters,"Multi-select Market and Vertical filters that drive what the detail panel shows and which cards are visible.",,,2,business-view;filters;MoSCoW-Should,Business Process View - CRE Powered Value Streams
Feature,MRI PMX Module Taxonomy,"System processes organised by MRI PMX module -> functional area -> process -> optional sub-process, each with MRI navigation, prerequisites and associated screens.",,,1,system-view;MoSCoW-Must,MRI PMX System View
Feature,Placeholder Module Flagging,"Modules awaiting SME review (Job Cost, Corporate AR, Budgeting & Forecasting) are visibly flagged as provisional.",,,3,system-view;placeholder;MoSCoW-Could,MRI PMX System View
Feature,Business-to-System Links,"Each business process links to one or more system processes and vice-versa, with click-through navigation to the counterpart.",,,2,linkage;MoSCoW-Must,Business-to-System Linkage & Mapping
Feature,Link Editing in Edit Mode,"Add and remove links inside the edit dialog on both views using a searchable process picker; changes are captured per client version.",,,2,linkage;editing;MoSCoW-Must,Business-to-System Linkage & Mapping
Feature,Coverage Mapping Matrix & Gap Analysis,"A matrix of value-stream groups (rows) against MRI PMX modules (columns) showing link counts, drill-down to pairs, coverage colouring and unmapped-gap flags.",,,2,mapping;MoSCoW-Should,Business-to-System Linkage & Mapping
Feature,Item-Level System Coverage Tag,"A single System Coverage tag (Full / Partial / Outside) on each value-stream process, with explanatory tooltips and a warning when a Full/Partial item is not yet linked.",,,2,coverage;MoSCoW-Must,System Coverage Tagging
Feature,Coverage Filter,"A multi-select System Coverage filter beside Market and Vertical that shows/hides value-stream cards by their coverage tag.",,,2,coverage;filters;MoSCoW-Should,System Coverage Tagging
Feature,Bulk Coverage Tagging,"A 'Tag all' dropdown on each value-stream column header (Edit Mode) to set Full/Partial/Outside or clear tags across the whole column.",,,3,coverage;editing;MoSCoW-Could,System Coverage Tagging
Feature,System Scope Tagging,"Tag each system process Core / Custom / Out of Scope, with auto Out-of-Scope for processes not linked to any value stream, and bulk column tagging.",,,2,scope;MoSCoW-Should,Scope Management
Feature,Scope Filter & Empty-Column Handling,"A multi-select scope filter with live counts and expand/collapse-all, hiding non-matching items and empty columns while respecting collapse state.",,,3,scope;filters;MoSCoW-Could,Scope Management
Feature,Edit Mode Content Authoring,"Add, edit and remove columns, processes and sub-processes in-browser, with view-specific edit forms and a per-item client note.",,,2,editing;MoSCoW-Must,Client Versioning & Content Editing
Feature,Client Versions,"Save, load, rename and delete named version snapshots capturing content, links, coverage/scope tags, client notes and module visibility across all views; with undo and reset to original.",,,1,versioning;MoSCoW-Must,Client Versioning & Content Editing
Feature,Module & Stream Visibility,"Toggle which modules/streams are visible for a client; saved per version and reflected in exports.",,,3,versioning;MoSCoW-Could,Client Versioning & Content Editing
Feature,Word & PDF Export,"Export the current tab or all visible tabs to Word and PDF; system docs include a scope summary and respect scope tags; business docs include market/vertical/standards and respect the filter selection.",,,2,export;MoSCoW-Should,Document Generation & Export
Feature,Yardi as a Second ERP,"Future: add an ERP selector and a second system taxonomy plus link set so the same business processes can be mapped against Yardi.",,,4,future;multi-erp,Multi-ERP Expansion
Feature,Version Sharing,"Future: export/import or shared storage so client versions can move between machines and users.",,,4,future;versioning,Multi-ERP Expansion
User Story,Switch between the three engagement views,"As an Implementation Consultant, I want to switch between the Value Streams, MRI PMX System and Mapping views, so that I can see the same engagement from the business, system and coverage perspectives.","Given I am on any view
When I select a different view from the switcher
Then that view renders using the shared grid and header
And my place in the engagement (active tab where applicable) is preserved.",3,1,platform;MoSCoW-Must,View Switcher & Shared Shell
User Story,Open a detail panel for any card,"As an Implementation Consultant, I want to click a card to open a detail panel, so that I can read its full detail without leaving the grid.","Given a card is shown in any view
When I click the card in view mode
Then a right-hand detail panel opens showing the item's breadcrumb, title, badges and detail sections
And clicking the overlay or another card updates or closes the panel.",2,1,platform;MoSCoW-Must,View Switcher & Shared Shell
User Story,Browse the Tab-Column-Card hierarchy,"As an Implementation Consultant, I want to browse content as tabs, columns and cards, so that I can navigate a large taxonomy quickly.","Given a view is active
When it renders
Then top-level items appear as tabs, groups as columns and items as cards
And selecting a tab shows that tab's columns and cards.",2,1,platform;MoSCoW-Must,Hierarchical Grid & Navigation
User Story,Expand and collapse sub-processes,"As an Implementation Consultant, I want to expand or collapse a process's sub-processes, so that I can control detail density on screen.","Given a process has sub-processes
When I click its expand toggle
Then its sub-processes are revealed and the toggle shows the count
And when collapsed the sub-processes are hidden
And an Expand all / Collapse all control toggles every process at once.",3,2,platform;MoSCoW-Should,Hierarchical Grid & Navigation
User Story,Scroll a long tab bar,"As an Implementation Consultant, I want the tab bar to scroll horizontally when there are many tabs, so that all modules/streams remain reachable on a normal screen.","Given more tabs exist than fit the viewport width
When I view the tab bar
Then it scrolls horizontally
And every tab can be reached and selected.",2,3,platform;MoSCoW-Could,Hierarchical Grid & Navigation
User Story,Browse CRE value streams,"As a Business Analyst, I want to browse the CRE Powered value streams as tabs with their process groups and processes, so that I can frame discovery around recognised value streams.","Given the Value Streams view is active
When I select a value-stream tab
Then its process groups render as columns and processes as cards
And supporting/enabling streams are visually distinguished.",3,1,business-view;MoSCoW-Must,CRE Powered Value Streams Taxonomy
User Story,See which cards still need enrichment,"As a Business Analyst, I want skeleton L3 cards flagged as needing enrichment, so that I know what to fill in during discovery.","Given a process card has not been enriched
When I view it
Then it shows a 'needs enrichment' flag
And the flag is explained in the detail panel.",2,2,business-view;MoSCoW-Should,CRE Powered Value Streams Taxonomy
User Story,View market variation for a process,"As a Client SME / Reviewer, I want to see how a process varies by market for the markets I care about, so that geography-specific differences are explicit.","Given a process has market variation content
And one or more markets are selected in the Market filter
When I open the process detail panel
Then I see one block per selected market that has content.",3,2,business-view;MoSCoW-Should,Business Dimensions
