State,ID,Area Path,Work Item Type,Title,Description,Acceptance Criteria,Story Points,Priority,Tags
New,,"Main Project\ERP Taxonomy Implementation App",Feature,"Proposed Scope Tagging","Lets Open Box record, on either side of the taxonomy, where discovery analysis has identified potential value add beyond what the client does today. Modelled as a flag orthogonal to the existing coverage and scope tags, so the current-state tag is preserved and the today-versus-proposed delta stays visible.","A process can be flagged Proposed Scope in both the Value Streams and MRI PMX System views; the existing coverage/scope tag is retained; proposals are visually distinct from agreed scope.",,2,"scope; proposed-scope; MoSCoW-Must"
New,,"Main Project\ERP Taxonomy Implementation App",User Story,"Flag a value-stream process as Proposed Scope","As an Implementation Consultant, I want to flag a value-stream process as Proposed Scope, so that I can record where Open Box believes MRI PMX could add value beyond the client current way of working.","A Propose control appears on each card in Edit Mode; flagging it does not change the coverage tag; the card shows both tags together (for example ""Outside"" alongside ""PROPOSED""); the flag is saved with the version.",5,1,"scope; proposed-scope; business-view; MoSCoW-Must"
New,,"Main Project\ERP Taxonomy Implementation App",User Story,"Flag an MRI PMX system process as Proposed Scope","As an Implementation Consultant, I want to flag a system process as Proposed Scope, so that I can recommend PMX capability that is not in the agreed implementation scope.","A Propose control appears on each system card in Edit Mode; the existing scope tag (Core / Custom / Out of scope) is retained; the proposal is saved with the version.",3,1,"scope; proposed-scope; system-view; MoSCoW-Must"
New,,"Main Project\ERP Taxonomy Implementation App",User Story,"Capture the value-add rationale for a proposal","As an Implementation Consultant, I want to record why a proposal adds value, so that the recommendation carries a business case rather than just a label.","Both edit modals expose a Proposed Scope checkbox and a rationale field; the rationale appears in the detail panel and in the generated document; a prompt appears when a proposal has no rationale; unticking clears the rationale.",3,1,"scope; proposed-scope; editing; MoSCoW-Must"
New,,"Main Project\ERP Taxonomy Implementation App",User Story,"Distinguish a proposal from agreed client scope at a glance","As an Implementation Consultant, I want Open Box proposals to look clearly different from agreed scope, so that a client can never mistake a recommendation for something they have signed up to.","Proposals use a distinct marker and dashed treatment, differing by shape as well as colour so they stay legible for colour-blind readers; the detail panel states the current state and that the item is a recommendation, not agreed scope.",3,1,"scope; proposed-scope; MoSCoW-Must"
New,,"Main Project\ERP Taxonomy Implementation App",User Story,"Bulk-propose or clear proposals for a column","As an Implementation Consultant, I want to propose or clear a whole column at once, so that I can tag quickly during a discovery workshop.","The Tag all menu in both views offers Propose all and Clear proposals; both apply to every process and sub-process in the column; existing coverage and scope tags are left untouched; the action costs one undo step.",2,3,"scope; proposed-scope; MoSCoW-Could"
New,,"Main Project\ERP Taxonomy Implementation App",User Story,"Filter both views by Proposed Scope","As an Implementation Consultant, I want to filter to just the proposals, so that I can review the full value-add story with a client.","A Proposed Scope toggle appears in both view filter bars; it narrows the existing coverage/scope selection rather than replacing it; it shows the whole proposal footprint including link-implied items; scope-count chips report direct and implied counts separately.",3,2,"scope; proposed-scope; filters; MoSCoW-Should"
New,,"Main Project\ERP Taxonomy Implementation App",User Story,"Clear proposals when loading the Discovery Baseline","As an Implementation Consultant, I want the Discovery Baseline to start with no proposals, so that each new client engagement begins from a clean sheet.","Loading the Discovery Baseline clears item proposals and proposed links on both sides; the agreed link set is left intact; reset behaviour respects the active baseline.",2,2,"scope; proposed-scope; versioning; MoSCoW-Should"
New,,"Main Project\ERP Taxonomy Implementation App",Feature,"Proposed Scope Propagation Across Links","Carries a proposal across the existing business-to-system links so it only has to be captured once, deriving the other side rather than storing it. Derivation is deliberately limited to one hop: propagation is bidirectional, so a stored flag would cascade through the link graph (system items average 5.9 business links, maximum 16) and a single click could have proposed a third of the taxonomy.","Flagging either side marks its linked counterparts as implied; implied items never imply further items; implied markers self-correct when links change.",,2,"linkage; proposed-scope; MoSCoW-Must"
New,,"Main Project\ERP Taxonomy Implementation App",User Story,"Imply a proposal across links in both directions","As an Implementation Consultant, I want a proposal on one side to mark its linked counterparts on the other, so that I do not have to tag the same recommendation twice.","Flagging a value-stream card marks the MRI PMX processes it links to as implied; flagging a system process marks the value-stream cards it serves; implied items render hollow and distinct from direct proposals; the tooltip and detail panel name the origin and its rationale.",5,1,"linkage; proposed-scope; MoSCoW-Must"
